Team,Mascot,Hex1,Hex2,Hex3,Hex4
Michigan,Wolverines,#00274C,3ffcb05,,
Michigan Tech,Huskies,#ffcd00,#000000,#8a8c8c,
Michigan State,Spartans,#18453b,#ffffff,#000000,#0b9a6d
Minnesota,Golden Gophers,#7a0019,#ffcc33,,
Wisconsin,Badgers,#c5050c,#ffffff,,
Boston College,Eagles,#8a100b,#b29d6c,#726158,
Boston University,Terriers,#cc0000,#2d2926,,
Maine,Black Bear,#003263,#b0d7ff,#ab0634,
North Dakota,Red Hawks,#009a44,#aaaead,#000000,
Denver,Pioneers,#ba0c2f,#a89968,#ef3340,
Western Michigan,Broncos,#F1C500,#532E1F,#819595,#E56849
Quinnipiac,Bobcats,#0C2340,#FFB81C,#418FDE,
Omaha,Mavericks,#636568,#D71920,#BCBBBA,#FFFFFF
Cornell,Big Red (Bear),#b31b1b,#222222,#ffffff,
RIT,Tigers,#3F76902,#000000,#FFFFFF,
Massachusetts,Minutemen,#971B2F,#572932,#B1B3B3,
