Team,Player,No,Position,Yr,Ht,Wt,DOB,Hometown,Height_Inches,Draft_Year,NHL_Team,D_Round,Last Team,League,Season
Michigan Tech,Mark Auk,12,Defensemen,So,Jun-00,185,2/18/1995,"St. Clair Shores, Mich.",72,,,,Port Huron,NAHL,2015
Michigan Tech,Dane Birks,4,Defensemen,Fr,3-Jun,190,8/29/1995,"Merritt, B.C.",75,2013,PIT,6,Merritt,BCHL,2015
Michigan Tech,Jimmy Davis,26,Defensemen,Sr,Jun-00,185,4/22/1993,"Caledonia, Mich.",72,,,,East Kentwood,HS-MI,2015
Michigan Tech,Shane Hanna,22,Defensemen,Jr,11-May,190,5/2/1994,"Salmon Arm, B.C.",71,,,,Salmon Arm,BCHL,2015
Michigan Tech,Walker Hyland,29,Defensemen,Sr,11-May,185,10/15/1991,"Woodbury, Minn.",71,,,,Alberni Valley,BCHL,2015
Michigan Tech,Chris Leibinger,6,Defensemen,Jr,9-May,175,6/16/1994,"Saginaw, Mich.",69,,,,Waterloo,USHL,2015
Michigan Tech,Matt Roy,3,Defensemen,So,1-Jun,200,3/1/1995,"Canton, Mich.",73,2015,LAK,7,Indiana,USHL,2015
Michigan Tech,Cliff (C) Watson,2,Defensemen,Jr,2-Jun,200,12/21/1993,"Appleton, Wis.",74,2012,SJS,6,Sioux City,USHL,2015
Michigan Tech,Patrick Anderson,13,Forwards,Sr,11-May,190,3/26/1991,"Bismarck, N.D.",71,,,,New Mexico,NAHL,2015
Michigan Tech,Evan Anderson,24,Forwards,Fr,3-Jun,205,3/9/1994,"Littleton, Colo.",75,,,,Penticton,BCHL,2015
Michigan Tech,Brent Baltus,28,Forwards,Jr,1-Jun,175,10/6/1992,"Nanaimo, B.C.",73,,,,Trail,BCHL,2015
Michigan Tech,Mason Blacklock,16,Forwards,Fr,1-Jun,195,12/23/1994,"White Rock, B.C.",73,,,,Vernon,BCHL,2015
Michigan Tech,Brett Boeing,20,Forwards,Fr,9-May,187,1/14/1995,"Barrington, Ill.",69,,,,Michigan Tech,WCHA,2015
Michigan Tech,C.J. Eick,18,Forwards,Sr,7-May,160,2/21/1992,"Appleton, Wis.",67,,,,Green Bay,USHL,2015
Michigan Tech,Alex Gillies,9,Forwards,So,Jun-00,190,5/19/1995,"Vernon, B.C.",72,,,,Salmon Arm,BCHL,2015
Michigan Tech,Malcolm Gould,14,Forwards,Sr,11-May,175,10/27/1992,"North Vancouver, B.C.",71,,,,Chilliwack,BCHL,2015
Michigan Tech,Tyler Heinonen,27,Forwards,Jr,Jun-00,190,5/8/1993,"Delano, Minn.",72,,,,Chicago,USHL,2015
Michigan Tech,Jake Jackson,10,Forwards,Fr,Jun-00,187,12/5/1994,"Maplewood, Minn.",72,2013,SJS,7,Nanaimo,BCHL,2015
Michigan Tech,Joel L'Esperance,11,Forwards,So,2-Jun,200,8/18/1995,"Brighton, Mich.",74,,,,Tri-City,USHL,2015
Michigan Tech,Jake Lucchini,15,Forwards,Fr,11-May,169,5/9/1995,"Trail, B.C.",71,,,,Trail,BCHL,2015
Michigan Tech,Mike Neville,25,Forwards,Jr,Jun-00,190,6/4/1993,"Woodbridge, Ont.",72,,,,St. Michael's,OJHL,2015
Michigan Tech,Alex (C) Petan,23,Forwards,Sr,8-May,155,5/2/1992,"Delta, B.C.",68,,,,Coquitlam,BCHL,2015
Michigan Tech,Dylan Steman,8,Forwards,So,10-May,185,6/7/1994,"Hanover, Minn.",70,,,,Cedar Rapids,USHL,2015
Michigan Tech,Reid Sturos,7,Forwards,Jr,2-Jun,185,8/8/1992,"Brighton, Mich.",74,,,,Nanaimo,BCHL,2015
Michigan Tech,Max Vallis,21,Forwards,Sr,9-May,175,3/2/1991,"Santa Clara, Calif.",69,,,,Omaha,USHL,2015
Michigan Tech,Devin Kero,31,Goaltenders,Fr,1-Jun,170,1/29/1994,"Hancock, Mich.",73,,,,Merritt,BCHL,2015
Michigan Tech,Jamie Phillips,30,Goaltenders,Sr,3-Jun,175,3/24/1993,"Caledonia, Ont.",75,2012,WPG,7,Powell River,BCHL,2015
